,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2189849853515625,0.015783927244607338,0.0,0.0,10,{'max_depth': 10},0.44047619047619047,0.4357142857142857,0.4380952380952381,0.4380952380952381,0.4380952380952381,0.43809523809523815,0.00150584650484208,10
1,0.32196760177612305,0.017949944293401163,0.0031253814697265623,0.006250762939453125,20,{'max_depth': 20},0.8785714285714286,0.8785714285714286,0.8785714285714286,0.8809523809523809,0.8761904761904762,0.8785714285714284,0.00150584650484208,9
2,0.3283201217651367,0.019419908698656858,0.006251192092895508,0.007656115474047641,30,{'max_depth': 30},0.9952380952380953,1.0,0.9976190476190476,1.0,1.0,0.9985714285714286,0.0019047619047618983,4
3,0.3314404010772705,0.018221523779948717,0.006251144409179688,0.007656057128232437,40,{'max_depth': 40},0.9952380952380953,1.0,1.0,1.0,0.9976190476190476,0.9985714285714286,0.0019047619047618983,4
4,0.3283576965332031,0.019588703788014906,0.006250905990600586,0.007655765083609941,50,{'max_depth': 50},0.9952380952380953,1.0,1.0,1.0,1.0,0.9990476190476191,0.001904761904761898,1
5,0.32851324081420896,0.019358891767963855,0.009375762939453126,0.007655278393057856,60,{'max_depth': 60},0.9952380952380953,1.0,0.9976190476190476,1.0,1.0,0.9985714285714286,0.0019047619047618983,4
6,0.3279751777648926,0.025734140095061225,0.006247186660766601,0.007651211912900684,70,{'max_depth': 70},0.9952380952380953,1.0,0.9976190476190476,1.0,1.0,0.9985714285714286,0.0019047619047618983,4
7,0.32821831703186033,0.022439579647218884,0.006251001358032226,0.0076558818635928325,80,{'max_depth': 80},0.9952380952380953,1.0,1.0,1.0,1.0,0.9990476190476191,0.001904761904761898,1
8,0.3249764919281006,0.018886646840333105,0.009379148483276367,0.007658044289727999,90,{'max_depth': 90},0.9952380952380953,1.0,1.0,1.0,1.0,0.9990476190476191,0.001904761904761898,1
9,0.33768486976623535,0.022371876737270435,0.006251287460327148,0.007656232265910806,100,{'max_depth': 100},0.9952380952380953,1.0,0.9976190476190476,1.0,1.0,0.9985714285714286,0.0019047619047618983,4
